127.0.0.1, 2013-07-19 21:17:40, GET, /AnnotatIt/static/css/font/cJZKeOuBrn4kERxqtaUH3T8E0i7KZn-EPnyo3HZu7kw.woff, HTTP/1.1, 200, 0.001272
127.0.0.1, 2013-07-19 21:17:52, GET, /AnnotatIt/default/user/logout, HTTP/1.1, 303, 0.719407
127.0.0.1, 2013-07-19 21:17:53, GET, /AnnotatIt/default/index, HTTP/1.1, 200, 0.118436
127.0.0.1, 2013-07-19 21:18:00, GET, /AnnotatIt/default/user/login, HTTP/1.1, 200, 0.199398
127.0.0.1, 2013-07-19 21:18:07, POST, /AnnotatIt/default/user/login, HTTP/1.1, 303, 0.186653
127.0.0.1, 2013-07-19 21:18:07, GET, /AnnotatIt/default/user/login, HTTP/1.1, 200, 0.061045
127.0.0.1, 2013-07-19 21:18:14, POST, /AnnotatIt/default/user/login, HTTP/1.1, 303, 0.293395
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/default/index, HTTP/1.1, 303, 0.035999
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/member/profile, HTTP/1.1, 200, 0.049093
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/css/ext_lib/chosen.css, HTTP/1.1, 304, 0.000503
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/css/ext_lib/datepicker.css, HTTP/1.1, 304, 0.000495
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/css/ext_lib/bootstrap-timepicker.css, HTTP/1.1, 304, 0.000461
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/css/ext_lib/daterangepicker.css, HTTP/1.1, 304, 0.001053
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/css/ext_lib/colorpicker.css, HTTP/1.1, 304, 0.000432
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/css/ext_lib/ace-fonts.css, HTTP/1.1, 304, 0.000385
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/css/ext_lib/ace.min.css, HTTP/1.1, 304, 0.000496
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/css/ext_lib/ace-responsive.min.css, HTTP/1.1, 304, 0.000489
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/css/ext_lib/ace-skins.min.css, HTTP/1.1, 304, 0.000359
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/js/ext_lib/ace.min.js, HTTP/1.1, 304, 0.000529
127.0.0.1, 2013-07-19 21:18:14, GET, /AnnotatIt/static/js/ext_lib/ace-elements.min.js, HTTP/1.1, 304, 0.000867
127.0.0.1, 2013-07-19 21:18:15, GET, /AnnotatIt/member/assets/avatars/user.jpg, HTTP/1.1, 404, 0.036970
127.0.0.1, 2013-07-19 21:18:15, GET, /AnnotatIt/static/css/font/DXI1ORHCpsQm3Vp6mXoaTXhCUOGz7vYGh680lGh-uXM.woff, HTTP/1.1, 304, 0.000568
127.0.0.1, 2013-07-19 21:18:15, GET, /AnnotatIt/static/css/font/cJZKeOuBrn4kERxqtaUH3T8E0i7KZn-EPnyo3HZu7kw.woff, HTTP/1.1, 304, 0.000349
127.0.0.1, 2013-07-23 13:04:36, GET, /, HTTP/1.1, 303, 0.000860
127.0.0.1, 2013-07-23 13:04:36, GET, /welcome/default/index, HTTP/1.1, 404, 0.000447
127.0.0.1, 2013-07-23 13:04:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000516
127.0.0.1, 2013-07-23 13:05:03, GET, /, HTTP/1.1, 200, 0.743490
127.0.0.1, 2013-07-23 13:05:05, GET, /AnnotatIt/static/images/favicon.ico, HTTP/1.1, 200, 0.001086
127.0.0.1, 2013-07-23 13:05:24, GET, /user/login, HTTP/1.1, 200, 0.550471
127.0.0.1, 2013-07-23 13:05:31, POST, /user/login, HTTP/1.1, 303, 0.382988
